,total_enrollment,total_price,year,for_profit,private,public,net_cost_0_to_30,net_cost_30_to_48,net_cost_48_to_75,net_cost_75_to_110,net_cost_over_110,state_code,off_campus,on_campus,two_year,four_year,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,asian_enrollment,white_enrollment,black_enrollment,american_indian_alaska_native_enrollment,hispanic_enrollment
0,291.0,17030,2017,0.0,0.0,1.0,8541.0,7371.0,0.0,10492.0,0.0,0,1.0,0.0,1.0,0.0,0.0,2380,2380,2380,2380,0.0,33.0,0.0,256.0,2.0
1,291.0,17030,2018,0.0,0.0,1.0,8541.0,7371.0,0.0,10492.0,0.0,0,1.0,0.0,1.0,0.0,0.0,2380,2380,2380,2380,0.0,33.0,0.0,256.0,2.0
2,4427.0,48300,2017,0.0,1.0,0.0,23184.63027,24835.94824,26151.12005,28288.79948,31205.91779,1,0.0,1.0,0.0,1.0,10350.0,34850,45200,34850,45200,46.0,2959.0,387.0,18.0,582.0
3,4427.0,45980,2016,0.0,1.0,0.0,22071.0,23643.0,24895.0,26930.0,29707.0,1,0.0,1.0,0.0,1.0,10350.0,34850,45200,34850,45200,46.0,2959.0,387.0,18.0,582.0
4,4427.0,48300,2017,0.0,1.0,0.0,23184.63027,24835.94824,26151.12005,28288.79948,31205.91779,1,1.0,0.0,0.0,1.0,10350.0,34850,45200,34850,45200,46.0,2959.0,387.0,18.0,582.0
5,4427.0,49722,2018,0.0,1.0,0.0,23867.20883,25567.14324,26921.03502,29121.64985,32124.65102,1,1.0,0.0,0.0,1.0,10350.0,34850,45200,34850,45200,46.0,2959.0,387.0,18.0,582.0
6,4427.0,49722,2018,0.0,1.0,0.0,23867.20883,25567.14324,26921.03502,29121.64985,32124.65102,1,0.0,1.0,0.0,1.0,10350.0,34850,45200,34850,45200,46.0,2959.0,387.0,18.0,582.0
7,4427.0,45980,2016,0.0,1.0,0.0,22071.0,23643.0,24895.0,26930.0,29707.0,1,1.0,0.0,0.0,1.0,10350.0,34850,45200,34850,45200,46.0,2959.0,387.0,18.0,582.0
8,3458.0,13803,2017,0.0,0.0,1.0,6011.163594,7178.575241,9705.618902,11233.31794,11142.7429,2,1.0,0.0,1.0,0.0,8474.0,4128,12602,12550,21024,36.0,2728.0,407.0,9.0,197.0
9,3458.0,14053,2016,0.0,0.0,1.0,5973.0,7133.0,9644.0,11162.0,11072.0,2,1.0,0.0,1.0,0.0,8474.0,4128,12602,12550,21024,36.0,2728.0,407.0,9.0,197.0
10,3458.0,15345,2018,0.0,0.0,1.0,6100.21198,7284.917471,9849.396339,11399.72646,11307.80965,2,0.0,1.0,1.0,0.0,8474.0,4128,12602,12550,21024,36.0,2728.0,407.0,9.0,197.0
11,3458.0,15121,2017,0.0,0.0,1.0,6011.163594,7178.575241,9705.618902,11233.31794,11142.7429,2,0.0,1.0,1.0,0.0,8474.0,4128,12602,12550,21024,36.0,2728.0,407.0,9.0,197.0
12,3458.0,15025,2016,0.0,0.0,1.0,5973.0,7133.0,9644.0,11162.0,11072.0,2,0.0,1.0,1.0,0.0,8474.0,4128,12602,12550,21024,36.0,2728.0,407.0,9.0,197.0
