,name,total_enrollment,Asian enrollment,White enrollment,Black enrollment,American Indian / Alaska Native enrollment,Hispanic enrollment
0,University of Phoenix-Arizona,195059.0,1959.0,58209.0,31455.0,876.0,13984.0
1,Ivy Tech Community College-Central Indiana,91179.0,1369.0,61498.0,12370.0,357.0,5533.0
2,Liberty University,81459.0,856.0,39062.0,14751.0,447.0,1186.0
3,Lone Star College system,69395.0,4198.0,23615.0,12094.0,168.0,23751.0
4,Miami Dade College,66046.0,655.0,4170.0,10722.0,47.0,44870.0
5,Grand Canyon University,62304.0,2446.0,28715.0,13856.0,586.0,8933.0
6,Texas A&M University at College Station,61642.0,3545.0,37458.0,1879.0,173.0,11256.0
7,University of Central Florida,60767.0,3343.0,33293.0,6400.0,120.0,13108.0
8,Ohio State University,58322.0,3339.0,40283.0,3108.0,76.0,2049.0
9,Houston Community College,58276.0,5391.0,8368.0,18520.0,116.0,18411.0
10,Western Governors University,57821.0,2195.0,41898.0,5442.0,360.0,4291.0
11,American Public University system,57539.0,1106.0,32587.0,11842.0,397.0,5656.0
12,Walden University,52188.0,1343.0,20280.0,18914.0,267.0,3021.0
13,Kaplan University at Davenport (Iowa),52018.0,1032.0,24268.0,16014.0,862.0,4537.0
14,Northern Virginia Community College,51487.0,7333.0,20097.0,9085.0,134.0,10264.0
15,University of Texas at Austin,51313.0,8324.0,24068.0,1961.0,96.0,9836.0
16,Ashford University,51237.0,645.0,23596.0,18727.0,482.0,4792.0
17,University of Minnesota-Twin Cities,51147.0,3998.0,33674.0,1785.0,163.0,1544.0
18,Tarrant County College District,50595.0,2950.0,21176.0,9407.0,231.0,14632.0
19,Arizona State University,50320.0,3185.0,26155.0,1803.0,651.0,8239.0
20,Michigan State University,50081.0,2214.0,33115.0,3196.0,127.0,1878.0
21,Florida International University,49610.0,1434.0,5683.0,5977.0,42.0,31211.0
22,University of Florida,49459.0,3501.0,27317.0,3151.0,137.0,8127.0
23,New York University,49274.0,7314.0,17326.0,2374.0,94.0,4267.0
24,Rutgers University at New Brunswick,48378.0,10850.0,20916.0,3874.0,30.0,5438.0
25,University of Maryland University College,47906.0,2272.0,19344.0,14348.0,218.0,4628.0
26,Pennsylvania State University at University Park,47040.0,2624.0,31453.0,1823.0,36.0,2468.0
27,Indiana University at Bloomington,46416.0,2008.0,32242.0,1794.0,55.0,2056.0
28,University of Illinois at Urbana-Champaign,45140.0,6121.0,21777.0,2186.0,39.0,3384.0
29,University of Washington,44784.0,8702.0,21015.0,1093.0,233.0,2917.0
30,Broward College,44119.0,1305.0,9047.0,14638.0,84.0,15053.0
31,University of Michigan at Ann Arbor,43625.0,4974.0,24810.0,1742.0,80.0,1933.0
32,Southern New Hampshire University,43274.0,337.0,10846.0,2373.0,152.0,1009.0
33,Valencia College,43217.0,1898.0,13600.0,7490.0,144.0,13965.0
34,University of Wisconsin at Madison,42598.0,2181.0,30435.0,961.0,109.0,1948.0
35,University of Southern California,42453.0,7696.0,13922.0,2238.0,73.0,5286.0
36,University of Arizona,42236.0,2392.0,22050.0,1402.0,517.0,9405.0
37,University of South Florida,41938.0,2662.0,22006.0,4298.0,87.0,7412.0
38,University of California at Los Angeles,41845.0,11257.0,12824.0,1229.0,66.0,7066.0
39,Excelsior College,41527.0,1287.0,24624.0,8954.0,250.0,3837.0
40,Florida State University,41226.0,1029.0,26466.0,3377.0,116.0,6594.0
