,name,total_enrollment,Asian enrollment,White enrollment,Black enrollment,American Indian / Alaska Native enrollment,Hispanic enrollment,index,total_price,year,campus,net_cost_0_to_30,net_cost_30_to_48,net_cost_48_to_75,net_cost_75_to_110,net_cost_over_110,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
0,Liberty University,81459.0,856.0,39062.0,14751.0,447.0,1186.0,40356575,37645,2016,On Campus,25416.0,24960.0,26731.0,29071.0,29447.0,Virginia,VA,Private,4 Year,10478.0,25276,35754,25276,35754
1,Liberty University,81459.0,856.0,39062.0,14751.0,447.0,1186.0,40356576,38364,2017,On Campus,25901.43243,25436.72307,27241.54825,29626.241039999997,30009.42245,Virginia,VA,Private,4 Year,10478.0,25276,35754,25276,35754
2,Liberty University,81459.0,856.0,39062.0,14751.0,447.0,1186.0,40356577,40075,2018,On Campus,27056.6131,26571.17811,28456.496880000002,30947.544830000003,31347.81578,Virginia,VA,Private,4 Year,10478.0,25276,35754,25276,35754
3,Liberty University,81459.0,856.0,39062.0,14751.0,447.0,1186.0,40356582,37383,2016,Off Campus,25416.0,24960.0,26731.0,29071.0,29447.0,Virginia,VA,Private,4 Year,10478.0,25276,35754,25276,35754
4,Liberty University,81459.0,856.0,39062.0,14751.0,447.0,1186.0,40356583,38178,2017,Off Campus,25901.43243,25436.72307,27241.54825,29626.241039999997,30009.42245,Virginia,VA,Private,4 Year,10478.0,25276,35754,25276,35754
5,Liberty University,81459.0,856.0,39062.0,14751.0,447.0,1186.0,40356584,38932,2018,Off Campus,27056.6131,26571.17811,28456.496880000002,30947.544830000003,31347.81578,Virginia,VA,Private,4 Year,10478.0,25276,35754,25276,35754
6,Miami Dade College,66046.0,655.0,4170.0,10722.0,47.0,44870.0,40406064,26849,2016,Off Campus,6717.0,7482.0,8609.0,10087.0,12190.0,Florida,FL,Public,2 Year,,3547,3547,12075,12075
7,Miami Dade College,66046.0,655.0,4170.0,10722.0,47.0,44870.0,40406065,26853,2017,Off Campus,6718.000708,7483.114678,8610.28258,10088.502770000001,12191.81608,Florida,FL,Public,2 Year,,3547,3547,12075,12075
8,Miami Dade College,66046.0,655.0,4170.0,10722.0,47.0,44870.0,40406066,26678,2018,Off Campus,6674.219747,7434.3474989999995,8554.16969,10022.756379999999,12112.36247,Florida,FL,Public,2 Year,,3547,3547,12075,12075
9,Grand Canyon University,62304.0,2446.0,28715.0,13856.0,586.0,8933.0,40411331,32100,2016,On Campus,17804.0,18812.0,21586.0,22765.0,22726.0,Arizona,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190
10,Grand Canyon University,62304.0,2446.0,28715.0,13856.0,586.0,8933.0,40411332,32100,2017,On Campus,17804.0,18812.0,21586.0,22765.0,22726.0,Arizona,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190
11,Grand Canyon University,62304.0,2446.0,28715.0,13856.0,586.0,8933.0,40411333,32100,2018,On Campus,17804.0,18812.0,21586.0,22765.0,22726.0,Arizona,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190
12,Grand Canyon University,62304.0,2446.0,28715.0,13856.0,586.0,8933.0,40411340,32100,2016,Off Campus,17804.0,18812.0,21586.0,22765.0,22726.0,Arizona,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190
