,index,name,total_price,year,campus,net_cost_0_to_30,net_cost_30_to_48,net_cost_48_to_75,net_cost_75_to_110,net_cost_over_110,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
0,1,Piedmont International University,20514,2017,On Campus,11668.39249,11643.988000000001,16502.513430000003,15854.77783,0.0,North Carolina,NC,Private,4 Year,7810.0,10970,18780,10970,18780
1,2,Piedmont International University,20829,2018,On Campus,11847.56494,11822.78571,16755.91558,16098.233769999999,0.0,North Carolina,NC,Private,4 Year,7810.0,10970,18780,10970,18780
2,4,Piedmont International University,26430,2017,Off Campus,11668.39249,11643.988000000001,16502.513430000003,15854.77783,0.0,North Carolina,NC,Private,4 Year,7810.0,10970,18780,10970,18780
3,5,Piedmont International University,26870,2018,Off Campus,11847.56494,11822.78571,16755.91558,16098.233769999999,0.0,North Carolina,NC,Private,4 Year,7810.0,10970,18780,10970,18780
4,14,Clovis Community College,14622,2016,Off Campus,2271.0,2654.0,2761.0,2821.0,8365.0,New Mexico,NM,Public,2 Year,,1296,1296,2904,2904
5,15,Clovis Community College,14360,2017,Off Campus,2230.3077550000003,2606.4450829999996,2711.5278350000003,2770.4527420000004,8215.114211,New Mexico,NM,Public,2 Year,,1296,1296,2904,2904
6,16,Clovis Community College,16576,2018,Off Campus,2574.483381,3008.665299,3129.964164,3197.982219,9482.850499,New Mexico,NM,Public,2 Year,,1296,1296,2904,2904
7,40391691,Clovis Community College,14550,2016,Off Campus,6033.0,7080.0,7530.0,10246.0,11043.0,New Mexico,NM,Public,2 Year,,1296,1296,2904,2904
8,40391692,Clovis Community College,15282,2017,Off Campus,6336.5158759999995,7436.189691,7908.828866,10761.46887,11598.565359999999,New Mexico,NM,Public,2 Year,,1296,1296,2904,2904
9,40391693,Clovis Community College,14990,2018,Off Campus,6215.441237,7294.103093000001,7757.711340000001,10555.84467,11376.946390000001,New Mexico,NM,Public,2 Year,,1296,1296,2904,2904
10,47,Huntington College of Health Sciences,21515,2017,Off Campus,12342.59533,12342.59533,0.0,18283.510140000002,0.0,Tennessee,TN,For Profit,2 Year,,6635,6635,6635,6635
11,48,Huntington College of Health Sciences,27238,2018,Off Campus,15625.731419999998,15625.731419999998,0.0,23146.93233,0.0,Tennessee,TN,For Profit,2 Year,,6635,6635,6635,6635
12,66,Husson University,29405,2016,On Campus,14942.0,15318.0,17809.0,22135.0,25174.0,Maine,ME,Private,4 Year,9830.0,18180,28010,18180,28010
13,67,Husson University,30209,2017,On Campus,15350.548480000001,15736.82918,18295.93882,22740.221559999998,25862.31478,Maine,ME,Private,4 Year,9830.0,18180,28010,18180,28010
14,68,Husson University,31150,2018,On Campus,15828.7128,16227.02602,18865.85105,23448.571669999998,26667.917019999997,Maine,ME,Private,4 Year,9830.0,18180,28010,18180,28010
15,70,Husson University,30485,2016,Off Campus,14942.0,15318.0,17809.0,22135.0,25174.0,Maine,ME,Private,4 Year,9830.0,18180,28010,18180,28010
16,71,Husson University,31011,2017,Off Campus,15350.548480000001,15736.82918,18295.93882,22740.221559999998,25862.31478,Maine,ME,Private,4 Year,9830.0,18180,28010,18180,28010
17,72,Husson University,31620,2018,Off Campus,15828.7128,16227.02602,18865.85105,23448.571669999998,26667.917019999997,Maine,ME,Private,4 Year,9830.0,18180,28010,18180,28010
18,93,Texas State Technical College,16195,2016,On Campus,7080.0,7252.0,9426.0,11638.0,12035.0,Texas,TX,Public,2 Year,5494.0,5250,10744,10020,15514
19,94,Texas State Technical College,18093,2017,On Campus,7909.752393000001,8101.910218999999,10530.69577,13001.934790000001,13445.46187,Texas,TX,Public,2 Year,5494.0,5250,10744,10020,15514
20,95,Texas State Technical College,19530,2018,On Campus,8537.968509,8745.388083,11367.07502,14034.58722,14513.340540000001,Texas,TX,Public,2 Year,5494.0,5250,10744,10020,15514
21,97,Texas State Technical College,20206,2016,Off Campus,7080.0,7252.0,9426.0,11638.0,12035.0,Texas,TX,Public,2 Year,5494.0,5250,10744,10020,15514
